Year,County,Region,Child_Population,% of Children in Total Population,Total_Population
2019,Haskell,2-Abilene,1242,20,6150
2019,Hays,7-Austin,51105,23,225516
2019,Hemphill,1-Lubbock,1417,31,4527
2019,Henderson,4-Tyler,16918,21,80985
2019,Hidalgo,11-Edinburg,258903,30,860844
2019,Hill,7-Austin,8469,24,35644
2019,Hockley,1-Lubbock,6472,26,24455
2019,Hood,3-Arlington,11531,20,57881
2019,Hopkins,4-Tyler,8628,23,36879
2019,Houston,5-Beaumont,4529,20,22738
2019,Howard,9-Midland,9393,23,40521
2019,Hudspeth,10-El Paso,735,22,3401
2019,Hunt,3-Arlington,21702,23,94285
2019,Hutchinson,1-Lubbock,5366,25,21511
2019,Irion,9-Midland,271,18,1513
2019,Jack,2-Abilene,1882,21,8845
2019,Jackson,8-San Antonio,4050,26,15699
2019,Jasper,5-Beaumont,8314,23,35593
2019,Jeff Davis,10-El Paso,328,15,2129
2019,Jefferson,5-Beaumont,60075,23,258020
2019,Jim Hogg,11-Edinburg,1480,29,5099
2019,Jim Wells,11-Edinburg,11923,28,42697
2019,Johnson,3-Arlington,43172,25,169575
2019,Jones,2-Abilene,3266,17,19766
2019,Karnes,8-San Antonio,3269,21,15309
2019,Kaufman,3-Arlington,31254,25,122724
2019,Kendall,8-San Antonio,9959,22,44686
2019,Kenedy,11-Edinburg,99,21,470
2019,Kent,2-Abilene,156,20,792
2019,Kerr,8-San Antonio,10301,20,51993
2019,Kimble,9-Midland,818,19,4365
2019,King,1-Lubbock,52,17,306
2019,Kinney,8-San Antonio,698,20,3465
2019,Kleberg,11-Edinburg,7066,23,31002
2019,Knox,2-Abilene,984,25,3912
2019,La Salle,8-San Antonio,1611,20,8154
2019,Lamar,4-Tyler,11303,23,50032
2019,Lamb,1-Lubbock,3344,26,12903
2019,Lampasas,7-Austin,4486,21,20885
2019,Lavaca,8-San Antonio,4913,24,20522
2019,Lee,7-Austin,4187,24,17502
2019,Leon,7-Austin,3916,22,17617
2019,Liberty,6-Houston,20681,25,84278
2019,Limestone,7-Austin,5226,22,23544
2019,Lipscomb,1-Lubbock,903,25,3618
2019,Live Oak,11-Edinburg,2429,20,11970
2019,Llano,7-Austin,3117,16,19428
2019,Loving,9-Midland,13,14,91
2019,Lubbock,1-Lubbock,74445,24,312653
2019,Lynn,1-Lubbock,1364,24,5613
2019,Madison,7-Austin,3212,22,14420
2019,Marion,4-Tyler,1933,19,10343
2019,Martin,9-Midland,1626,28,5898
2019,Mason,9-Midland,760,19,3901
2019,Matagorda,6-Houston,9057,24,37064
2019,Maverick,8-San Antonio,17903,30,59379
2019,McCulloch,9-Midland,1922,22,8619
2019,McLennan,7-Austin,64131,26,251303
2019,McMullen,11-Edinburg,123,16,774
2019,Medina,8-San Antonio,11466,23,50118
2019,Menard,9-Midland,416,19,2185
2019,Midland,9-Midland,50544,28,181073
2019,Milam,7-Austin,5952,24,24655
2019,Mills,7-Austin,1020,21,4876
2019,Mitchell,2-Abilene,1849,19,9802
2019,Montague,2-Abilene,4265,22,19247
2019,Montgomery,6-Houston,149360,25,595887
2019,Moore,1-Lubbock,6359,29,21612
2019,Morris,4-Tyler,2765,22,12506
2019,Motley,1-Lubbock,218,19,1174
2019,Nacogdoches,5-Beaumont,13479,21,63981
2019,Navarro,3-Arlington,11574,24,47977
2019,Newton,5-Beaumont,2652,19,13784
2019,Nolan,2-Abilene,4027,26,15589
2019,Nueces,11-Edinburg,94425,25,379038
2019,Ochiltree,1-Lubbock,3329,30,11190
2019,Oldham,1-Lubbock,568,26,2192
2019,Orange,5-Beaumont,19637,23,85744
2019,Palo Pinto,3-Arlington,6203,22,27891
2019,Panola,4-Tyler,5943,24,24531
2019,Parker,3-Arlington,30685,23,133578
2019,Parmer,1-Lubbock,2601,28,9288
2019,Pecos,9-Midland,3998,24,16477
2019,Polk,5-Beaumont,9450,19,48689
2019,Potter,1-Lubbock,31106,25,122653
2019,Presidio,10-El Paso,1468,24,6049
2019,Rains,4-Tyler,2170,19,11325
2019,Randall,1-Lubbock,32711,24,136026
2019,Reagan,9-Midland,1159,28,4122
2019,Real,8-San Antonio,660,19,3403
2019,Red River,4-Tyler,2571,20,12645
2019,Reeves,9-Midland,3379,22,15501
2019,Refugio,11-Edinburg,1693,22,7563
2019,Roberts,1-Lubbock,221,23,977
2019,Robertson,7-Austin,3685,22,16856
2019,Rockwall,3-Arlington,24265,24,99619
2019,Runnels,2-Abilene,2567,23,10948
2019,Rusk,4-Tyler,11389,22,52822
2019,Sabine,5-Beaumont,1840,18,10019
2019,San Augustine,5-Beaumont,1624,19,8445
2019,San Jacinto,5-Beaumont,6310,22,28602
2019,San Patricio,11-Edinburg,18214,26,70615
2019,San Saba,7-Austin,1185,20,5890
2019,Schleicher,9-Midland,834,25,3300
2019,Scurry,2-Abilene,4559,25,18208
2019,Shackelford,2-Abilene,774,23,3394
2019,Shelby,5-Beaumont,6651,26,25565
2019,Sherman,1-Lubbock,847,26,3239
2019,Smith,4-Tyler,56849,24,232715
2019,Somervell,3-Arlington,1971,21,9194
2019,Starr,11-Edinburg,19969,31,64444
2019,Stephens,2-Abilene,2170,23,9573
2019,Sterling,9-Midland,263,21,1238
2019,Stonewall,2-Abilene,311,20,1519
2019,Sutton,9-Midland,986,23,4350
2019,Swisher,1-Lubbock,1786,24,7444
2019,Tarrant,3-Arlington,537604,25,2108938
2019,Taylor,2-Abilene,34110,25,138697
2019,Terrell,9-Midland,208,20,1048
2019,Terry,1-Lubbock,3436,26,13001
2019,Throckmorton,2-Abilene,306,20,1528
2019,Titus,4-Tyler,9166,28,32934
2019,Tom Green,9-Midland,27829,23,121814
2019,Travis,7-Austin,283941,22,1265178
2019,Trinity,5-Beaumont,2664,19,14285
2019,Tyler,5-Beaumont,4198,20,21379
2019,Upshur,4-Tyler,9154,22,41389
2019,Upton,9-Midland,1037,26,3916
2019,Uvalde,8-San Antonio,6958,25,27729
2019,Val Verde,8-San Antonio,13603,28,48334
2019,Van Zandt,4-Tyler,12359,22,55170
2019,Victoria,8-San Antonio,22996,24,96533
2019,Walker,6-Houston,12785,17,73219
2019,Waller,6-Houston,11401,23,49950
2019,Ward,9-Midland,3828,29,13230
2019,Washington,7-Austin,7635,22,35010
2019,Webb,11-Edinburg,82055,30,273467
2019,Wharton,6-Houston,10667,25,41883
2019,Wheeler,1-Lubbock,1453,25,5751
2019,Wichita,2-Abilene,29589,22,133012
2019,Wilbarger,2-Abilene,3040,23,13085
2019,Willacy,11-Edinburg,5447,25,22157
2019,Williamson,7-Austin,144585,25,570803
2019,Wilson,8-San Antonio,11373,22,50837
2019,Winkler,9-Midland,2745,30,9022
2019,Wise,3-Arlington,14800,23,65160
2019,Wood,4-Tyler,8869,20,44993
2019,Yoakum,1-Lubbock,2850,31,9060
2019,Young,2-Abilene,4386,23,18695
2019,Zapata,11-Edinburg,4653,32,14403
2019,Zavala,8-San Antonio,3863,31,12572
2018,Anderson,4-Tyler,10938,19,58293
2018,Andrews,9-Midland,6217,30,20388
2018,Angelina,5-Beaumont,23113,26,89860
2018,Aransas,11-Edinburg,4965,19,26700
2018,Archer,2-Abilene,1743,21,8452
2018,Armstrong,1-Lubbock,355,18,1954
2018,Atascosa,8-San Antonio,13170,26,50265
2018,Austin,6-Houston,6884,23,30002
2018,Bailey,1-Lubbock,2345,31,7582
2018,Bandera,8-San Antonio,3452,16,21083
2018,Bastrop,7-Austin,20495,25,83657
2018,Baylor,2-Abilene,808,22,3640
2018,Bee,11-Edinburg,7409,22,33924
2018,Bell,7-Austin,100615,29,345285
2018,Bexar,8-San Antonio,517732,26,2013625
2018,Blanco,7-Austin,2102,19,11303
2018,Borden,9-Midland,108,16,675
2018,Bosque,7-Austin,3725,21,17828
2018,Bowie,4-Tyler,20050,22,92615
2018,Brazoria,6-Houston,93035,26,362609
2018,Brazos,7-Austin,48638,22,221079
2018,Brewster,10-El Paso,2017,22,9192
2018,Briscoe,1-Lubbock,315,20,1576
2018,Brooks,11-Edinburg,1863,26,7187
2018,Brown,2-Abilene,8595,22,38827
2018,Burleson,7-Austin,3959,23,17589
2018,Burnet,7-Austin,10140,22,47080
2018,Caldwell,7-Austin,10772,25,42953
2018,Calhoun,8-San Antonio,5604,25,22570
2018,Callahan,2-Abilene,2677,20,13437
2018,Cameron,11-Edinburg,126935,30,424462
2018,Camp,4-Tyler,3277,25,13145
2018,Carson,1-Lubbock,1336,23,5848
2018,Cass,4-Tyler,6687,22,30399
2018,Castro,1-Lubbock,2007,28,7275
2018,Chambers,6-Houston,10555,26,40629
2018,Cherokee,4-Tyler,13254,26,51985
2018,Childress,1-Lubbock,1425,20,7078
2018,Clay,2-Abilene,1978,20,9984
2018,Cochran,1-Lubbock,945,29,3279
2018,Coke,9-Midland,626,19,3236
2018,Coleman,2-Abilene,1936,23,8569
2018,Collin,3-Arlington,253266,26,983202
2018,Collingsworth,1-Lubbock,845,27,3172
2018,Colorado,6-Houston,4917,23,21199
2018,Comal,8-San Antonio,30654,22,138302
2018,Comanche,2-Abilene,2991,23,13260
2018,Concho,9-Midland,554,13,4132
2018,Cooke,3-Arlington,9064,23,39470
2018,Coryell,7-Austin,20010,26,77622
2018,Cottle,2-Abilene,322,21,1512
2018,Crane,9-Midland,1635,28,5783
2018,Crockett,9-Midland,986,25,3982
2018,Crosby,1-Lubbock,1659,26,6363
2018,Culberson,10-El Paso,480,21,2275
2018,Dallam,1-Lubbock,2190,31,7112
2018,Dallas,3-Arlington,714767,27,2660715
2018,Dawson,9-Midland,3282,24,13629
2018,DeWitt,8-San Antonio,4598,22,21374
2018,Deaf Smith,1-Lubbock,5619,31,18352
2018,Delta,4-Tyler,1118,21,5355
2018,Denton,3-Arlington,206182,24,844707
2018,Dickens,1-Lubbock,346,16,2204
2018,Dimmit,8-San Antonio,3341,29,11335
2018,Donley,1-Lubbock,680,20,3461
2018,Duval,11-Edinburg,3032,26,11814
2018,Eastland,2-Abilene,4113,22,18307
2018,Ector,9-Midland,51424,30,173797
2018,Edwards,8-San Antonio,416,21,2012
2018,El Paso,10-El Paso,240234,28,861806
2018,Ellis,3-Arlington,44316,26,171816
2018,Erath,3-Arlington,8768,22,40662
2018,Falls,7-Austin,3411,20,16835
2018,Fannin,3-Arlington,7000,20,34459
2018,Fayette,7-Austin,5630,22,25722
2018,Fisher,2-Abilene,826,21,3985
2018,Floyd,1-Lubbock,1491,25,5886
2018,Foard,2-Abilene,243,19,1248
2018,Fort Bend,6-Houston,201789,26,781965
2018,Franklin,4-Tyler,2721,25,10847
2018,Freestone,7-Austin,4465,22,19872
2018,Frio,8-San Antonio,4577,24,19421
2018,Gaines,9-Midland,7065,33,21130
2018,Galveston,6-Houston,82997,24,341737
2018,Garza,1-Lubbock,1364,20,6725
2018,Gillespie,8-San Antonio,4907,19,25848
2018,Glasscock,9-Midland,295,22,1336
2018,Goliad,8-San Antonio,1527,20,7622
2018,Gonzales,8-San Antonio,5560,26,21075
2018,Gray,1-Lubbock,5919,25,23830
2018,Grayson,3-Arlington,30286,23,129610
2018,Gregg,4-Tyler,31825,25,125113
2018,Grimes,7-Austin,6281,22,28476
2018,Guadalupe,8-San Antonio,40585,25,161541
2018,Hale,1-Lubbock,9322,28,33824
2018,Hall,1-Lubbock,785,24,3311
2018,Hamilton,7-Austin,1804,22,8254
2018,Hansford,1-Lubbock,1662,29,5780
2018,Hardeman,2-Abilene,946,24,3899
2018,Hardin,5-Beaumont,12862,23,56216
2018,Harris,6-Houston,1292687,27,4796533
2018,Harrison,4-Tyler,17221,25,67764
2018,Hartley,1-Lubbock,1199,20,6041
2018,Haskell,2-Abilene,1223,20,6107
2018,Hays,7-Austin,49705,23,216516
