Year,County,Region,Placement Intention,Count,Average Months since Termination of Parental Rights
2021,Duval,11-Edinburg,Not Permanent,9,43.0071684587814
2021,Duval,11-Edinburg,Permanent,3,5.06451612903226
2021,Eastland,2-Abilene,Not Permanent,8,30.8145161290323
2021,Eastland,2-Abilene,Permanent,2,5.62903225806452
2021,Ector,9-Midland,Not Permanent,32,20.5735887096774
2021,Ector,9-Midland,Permanent,46,9.90953716690042
2021,Ellis,3-Arlington,Not Permanent,12,10.260752688172
2021,Ellis,3-Arlington,Permanent,7,17.3087557603687
2021,El Paso,10-El Paso,Not Permanent,69,25.2024310425432
2021,El Paso,10-El Paso,Permanent,25,6.17806451612903
2021,Erath,3-Arlington,Not Permanent,4,27.3467741935484
2021,Falls,7-Austin,Not Permanent,3,7.66666666666667
2021,Falls,7-Austin,Permanent,7,4.7926267281106
2021,Fannin,3-Arlington,Not Permanent,10,13.9225806451613
2021,Fannin,3-Arlington,Permanent,8,3.125
2021,Fayette,7-Austin,Not Permanent,5,4.83225806451613
2021,Fayette,7-Austin,Permanent,9,8.7168458781362
2021,Foard,2-Abilene,Permanent,2,0.193548387096774
2021,Fort Bend,6-Houston,Not Permanent,10,29.6967741935484
2021,Fort Bend,6-Houston,Permanent,12,8.50537634408602
2021,Franklin,4-Tyler,Not Permanent,1,36.6774193548387
2021,Franklin,4-Tyler,Permanent,1,12.5483870967742
2021,Freestone,7-Austin,Not Permanent,2,53.5
2021,Freestone,7-Austin,Permanent,5,10.7870967741935
2021,Frio,8-San Antonio,Not Permanent,5,53.3935483870968
2021,Frio,8-San Antonio,Permanent,21,11.1582181259601
2021,Gaines,9-Midland,Not Permanent,3,48.3010752688172
2021,Galveston,6-Houston,Not Permanent,24,16.1465053763441
2021,Galveston,6-Houston,Permanent,21,7.23809523809524
2021,Garza,1-Lubbock,Not Permanent,1,23.3548387096774
2021,Gillespie,8-San Antonio,Not Permanent,2,44.0645161290323
2021,Gillespie,8-San Antonio,Permanent,2,6.2258064516129
2021,Goliad,8-San Antonio,Not Permanent,1,4.32258064516129
2021,Gonzales,8-San Antonio,Not Permanent,3,36.5376344086022
2021,Gonzales,8-San Antonio,Permanent,5,2.09032258064516
2021,Gray,1-Lubbock,Not Permanent,13,31.5359801488834
2021,Gray,1-Lubbock,Permanent,11,7.51319648093842
2021,Grayson,3-Arlington,Not Permanent,13,20.3697270471464
2021,Grayson,3-Arlington,Permanent,22,10.4794721407625
2021,Gregg,4-Tyler,Not Permanent,14,49.8502304147465
2021,Gregg,4-Tyler,Permanent,39,7.03473945409429
2021,Grimes,7-Austin,Not Permanent,2,36.0161290322581
2021,Grimes,7-Austin,Permanent,1,7.87096774193548
2021,Guadalupe,8-San Antonio,Not Permanent,5,27.1032258064516
2021,Guadalupe,8-San Antonio,Permanent,15,10.7913978494624
2021,Hale,1-Lubbock,Not Permanent,3,62.0967741935484
2021,Hale,1-Lubbock,Permanent,10,12.0806451612903
2021,Hall,1-Lubbock,Permanent,3,32.4193548387097
2021,Hamilton,7-Austin,Not Permanent,1,21.8064516129032
2021,Hamilton,7-Austin,Permanent,2,2.48387096774194
2021,Hardeman,2-Abilene,Permanent,1,3.87096774193548
2021,Hardin,5-Beaumont,Permanent,9,4.50179211469534
2021,Harris,6-Houston,Not Permanent,247,39.3227112446128
2021,Harris,6-Houston,Permanent,247,17.5466893039049
2021,Harrison,4-Tyler,Not Permanent,4,49.6693548387097
2021,Harrison,4-Tyler,Permanent,9,3.62365591397849
2021,Haskell,2-Abilene,Not Permanent,1,17.8387096774194
2021,Haskell,2-Abilene,Permanent,1,24.741935483871
2021,Hays,7-Austin,Not Permanent,12,19.75
2021,Hays,7-Austin,Permanent,59,6.6074357572444
2021,Henderson,4-Tyler,Not Permanent,20,18.3338709677419
2021,Henderson,4-Tyler,Permanent,36,10.7965949820789
2021,Hidalgo,11-Edinburg,Not Permanent,23,34.492286115007
2021,Hidalgo,11-Edinburg,Permanent,10,17.9225806451613
2021,Hill,7-Austin,Not Permanent,6,21.8333333333333
2021,Hill,7-Austin,Permanent,14,15.3341013824885
2021,Hockley,1-Lubbock,Not Permanent,5,30.3354838709677
2021,Hockley,1-Lubbock,Permanent,5,5.52903225806452
2021,Hood,3-Arlington,Not Permanent,10,26.0612903225806
2021,Hood,3-Arlington,Permanent,1,78.3870967741935
2021,Hopkins,4-Tyler,Not Permanent,2,2.20967741935484
2021,Hopkins,4-Tyler,Permanent,17,8.20303605313093
2021,Houston,5-Beaumont,Not Permanent,4,6.75806451612903
2021,Houston,5-Beaumont,Permanent,11,4.31964809384164
2021,Howard,9-Midland,Not Permanent,2,43.8548387096774
2021,Howard,9-Midland,Permanent,8,22.9758064516129
2021,Hunt,3-Arlington,Not Permanent,19,14.9252971137521
2021,Hunt,3-Arlington,Permanent,14,8.25576036866359
2021,Hutchinson,1-Lubbock,Not Permanent,4,38.3387096774194
2021,Hutchinson,1-Lubbock,Permanent,8,6.15322580645161
2021,Irion,9-Midland,Not Permanent,1,47.6129032258065
2021,Irion,9-Midland,Permanent,3,7.61290322580645
2021,Jack,2-Abilene,Permanent,1,11.9032258064516
2021,Jackson,8-San Antonio,Not Permanent,1,70.9677419354839
2021,Jackson,8-San Antonio,Permanent,5,34.2129032258065
2021,Jasper,5-Beaumont,Not Permanent,4,27.8790322580645
2021,Jasper,5-Beaumont,Permanent,4,5.94354838709677
2021,Jefferson,5-Beaumont,Not Permanent,27,22.1768219832736
2021,Jefferson,5-Beaumont,Permanent,87,8.50129773822766
2021,Jim Hogg,11-Edinburg,Not Permanent,1,80.6451612903226
2021,Jim Wells,11-Edinburg,Not Permanent,11,35.3724340175953
2021,Jim Wells,11-Edinburg,Permanent,3,12.5376344086022
2021,Johnson,3-Arlington,Not Permanent,36,14.1863799283154
2021,Johnson,3-Arlington,Permanent,2,17.5645161290323
2021,Jones,2-Abilene,Not Permanent,4,28.75
2021,Jones,2-Abilene,Permanent,11,20.466275659824
2021,Karnes,8-San Antonio,Not Permanent,6,17.0698924731183
2021,Karnes,8-San Antonio,Permanent,7,22.8940092165899
2021,Kaufman,3-Arlington,Not Permanent,4,8.67741935483871
2021,Kaufman,3-Arlington,Permanent,8,17.5120967741935
2021,Kendall,8-San Antonio,Not Permanent,2,8.66129032258065
2021,Kendall,8-San Antonio,Permanent,1,19.0645161290323
2021,Kerr,8-San Antonio,Not Permanent,1,60.6774193548387
2021,Kerr,8-San Antonio,Permanent,2,6.33870967741935
2021,Kimble,9-Midland,Not Permanent,1,29.8064516129032
2021,Kimble,9-Midland,Permanent,4,6.13709677419355
2021,Kinney,8-San Antonio,Not Permanent,2,5.38709677419355
2021,Kinney,8-San Antonio,Permanent,1,1.06451612903226
2021,Kleberg,11-Edinburg,Not Permanent,2,23.6129032258065
2021,Kleberg,11-Edinburg,Permanent,2,32.9032258064516
2021,Knox,2-Abilene,Permanent,3,6.19354838709677
2021,Lamar,4-Tyler,Not Permanent,7,27.1612903225806
2021,Lamar,4-Tyler,Permanent,25,10.0283870967742
2021,Lamb,1-Lubbock,Not Permanent,5,15.9806451612903
2021,Lampasas,7-Austin,Permanent,10,5.88709677419355
2021,La Salle,8-San Antonio,Not Permanent,2,1.12903225806452
2021,La Salle,8-San Antonio,Permanent,1,5.16129032258065
2021,Lavaca,8-San Antonio,Not Permanent,2,3.33870967741935
