Econ_Region,Year,County,Region,fips,lon,lat,Child_Population,Total_Population,DFPS_children_Total_County,Adopt_Need_Total_County,Homes_Total_County,Total_Families_Served_HOPES,Total_Families_Served_HIP,Total_Families_Served_TNFP,Total_Families_Served_THV_MIECHV,Total_Families_Served_THV_STATE,Total_Families_Served_THV,Physician_Access,Uninsured Rate,Graduation Rate,Personal Income per Capita,Average Wages,Population Density
Alamo,2011,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11736,46445,201,54,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4249,17466,74,21,1,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4985,24948,61,10,2,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12862,45508,173,24,4,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,22977,87695,206,37,19,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4465,20217,48,12,NA,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3596,14229,5,2,5,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,3909,20555,68,15,2,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2011,Comal,8-San Antonio,48091,-98.27814516,29.80816362,26085,111728,257,29,11,NA,NA,NA,NA,NA,NA,183,23.2,84.6,38356,41761,143.4
Alamo,2012,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5551,21685,20,1,2,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3655,14406,3,1,2,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Comal,8-San Antonio,48091,-98.27814516,29.80816362,26528,115105,218,24,10,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Gonzales,8-San Antonio,48177,-97.49279927,29.45641495,5383,20141,26,9,1,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
Alamo,2012,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,8403,35529,51,11,1,NA,NA,NA,NA,NA,NA,181,22.7,87.2,39729,42720,146.1
