Fiscal Year,County,Region,Program,Families Served
2018,Callahan,2-Abilene,TFTS (2011-2018),5
2018,Cameron,11-Edinburg,CBCAP,234
2018,Cameron,11-Edinburg,HOPES,333
2018,Cameron,11-Edinburg,TFTS (2011-2018),140
2018,Chambers,6-Houston,HOPES,1
2018,Cherokee,4-Tyler,HIP,1
2018,Clay,2-Abilene,HOPES,3
2018,Coleman,2-Abilene,CBCAP,1
2018,Coleman,2-Abilene,TFTS (2011-2018),9
2018,Comal,8-San Antonio,SMVF,4
2018,Comal,8-San Antonio,TFTS (2011-2018),1
2018,Comanche,2-Abilene,TFTS (2011-2018),2
2018,Cooke,3-Arlington,CBCAP,1
2018,Coryell,7-Austin,HIP,1
2018,Coryell,7-Austin,HOPES,19
2018,Coryell,7-Austin,SMVF,46
2018,Dallas,3-Arlington,CBCAP,5
2018,Dallas,3-Arlington,HIP,34
2018,Dallas,3-Arlington,HOPES,526
2018,Dawson,9-Midland,HIP,2
2018,Denton,3-Arlington,CBCAP,41
2018,Denton,3-Arlington,HIP,2
2018,Denton,3-Arlington,HOPES,120
2018,Eastland,2-Abilene,HIP,1
2018,Eastland,2-Abilene,TFTS (2011-2018),3
2018,Ector,9-Midland,CBCAP,5
2018,Ector,9-Midland,HOPES,64
2018,Ellis,3-Arlington,HOPES,32
2018,El Paso,10-El Paso,CBCAP,129
2018,El Paso,10-El Paso,HOPES,507
2018,El Paso,10-El Paso,SMVF,210
2018,Fort Bend,6-Houston,CBCAP,85
2018,Fort Bend,6-Houston,HIP,3
2018,Fort Bend,6-Houston,HOPES,21
2018,Frio,8-San Antonio,SMVF,3
2018,Galveston,6-Houston,HIP,1
2018,Galveston,6-Houston,HOPES,82
2018,Gonzales,8-San Antonio,SMVF,1
2018,Grayson,3-Arlington,CBCAP,1
2018,Grayson,3-Arlington,HIP,1
2018,Gregg,4-Tyler,HIP,4
2018,Gregg,4-Tyler,HOPES,234
2018,Grimes,7-Austin,TFTS (2011-2018),80
2018,Guadalupe,8-San Antonio,CBFS (2011-2018),23
2018,Guadalupe,8-San Antonio,HIP,2
2018,Guadalupe,8-San Antonio,SMVF,11
2018,Hardin,5-Beaumont,HIP,4
2018,Hardin,5-Beaumont,HOPES,1
2018,Harris,6-Houston,CBCAP,67
2018,Harris,6-Houston,HIP,37
2018,Harris,6-Houston,HOPES,641
2018,Harrison,4-Tyler,HIP,3
2018,Harrison,4-Tyler,HOPES,15
2018,Hays,7-Austin,HIP,2
2018,Hays,7-Austin,TFTS (2011-2018),1
2018,Hidalgo,11-Edinburg,CBCAP,4
2018,Hidalgo,11-Edinburg,HOPES,734
2018,Hidalgo,11-Edinburg,TFTS (2011-2018),593
2018,Hood,3-Arlington,HIP,1
2018,Howard,9-Midland,HIP,2
2018,Hudspeth,10-El Paso,CBCAP,1
2018,Hudspeth,10-El Paso,HOPES,1
2018,Hudspeth,10-El Paso,SMVF,1
2018,Hunt,3-Arlington,HIP,2
2018,Jack,2-Abilene,HIP,1
2018,Jasper,5-Beaumont,HIP,5
2018,Jefferson,5-Beaumont,HIP,15
2018,Jefferson,5-Beaumont,HOPES,192
2018,Johnson,3-Arlington,CBCAP,1
2018,Johnson,3-Arlington,HOPES,82
2018,Jones,2-Abilene,HOPES,22
2018,Kaufman,3-Arlington,HIP,1
2018,Kendall,8-San Antonio,SMVF,1
2018,Kerr,8-San Antonio,SMVF,1
2018,Kerr,8-San Antonio,TFTS (2011-2018),35
2018,Kleberg,11-Edinburg,HOPES,3
2018,Lampasas,7-Austin,HOPES,5
2018,Lampasas,7-Austin,SMVF,1
2018,Lavaca,8-San Antonio,HIP,1
2018,Leon,7-Austin,TFTS (2011-2018),3
2018,Liberty,6-Houston,HOPES,2
2018,Lubbock,1-Lubbock,CBCAP,1
2018,Lubbock,1-Lubbock,HIP,5
2018,Lubbock,1-Lubbock,HOPES,200
2018,Madison,7-Austin,TFTS (2011-2018),11
2018,Maverick,8-San Antonio,CBCAP,1
2018,McCulloch,9-Midland,TFTS (2011-2018),2
2018,McLennan,7-Austin,CBCAP,1
2018,McLennan,7-Austin,HIP,3
2018,McLennan,7-Austin,HOPES,124
2018,Medina,8-San Antonio,HOPES,1
2018,Medina,8-San Antonio,SMVF,1
2018,Midland,9-Midland,CBCAP,1
2018,Midland,9-Midland,HIP,3
2018,Midland,9-Midland,HOPES,16
2018,Mills,7-Austin,TFTS (2011-2018),1
2018,Montague,2-Abilene,HIP,1
2018,Montgomery,6-Houston,CBCAP,2
2018,Montgomery,6-Houston,HIP,5
2018,Montgomery,6-Houston,HOPES,149
2018,Nacogdoches,5-Beaumont,HIP,4
2018,Navarro,3-Arlington,HIP,1
2018,Nolan,2-Abilene,CBCAP,1
2018,Nolan,2-Abilene,HOPES,6
2018,Nueces,11-Edinburg,CBCAP,2
2018,Nueces,11-Edinburg,HOPES,100
2018,Nueces,11-Edinburg,TFTS (2011-2018),143
2018,Orange,5-Beaumont,HIP,2
2018,Orange,5-Beaumont,HOPES,1
2018,Palo Pinto,3-Arlington,HIP,1
2018,Parker,3-Arlington,CBCAP,2
2018,Parker,3-Arlington,HIP,1
2018,Polk,5-Beaumont,HIP,1
2018,Potter,1-Lubbock,HOPES,113
2018,Randall,1-Lubbock,HOPES,27
2018,Robertson,7-Austin,TFTS (2011-2018),37
2018,Runnels,2-Abilene,CBCAP,2
2018,Rusk,4-Tyler,HOPES,3
2018,San Patricio,11-Edinburg,HOPES,27
2018,San Saba,7-Austin,TFTS (2011-2018),18
2018,Shackelford,2-Abilene,HOPES,4
2018,Smith,4-Tyler,CBCAP,1
2018,Smith,4-Tyler,HIP,1
2018,Starr,11-Edinburg,CBCAP,1
2018,Tarrant,3-Arlington,CBCAP,150
2018,Tarrant,3-Arlington,HIP,15
2018,Tarrant,3-Arlington,HOPES,732
2018,Tarrant,3-Arlington,TFTS (2011-2018),249
2018,Taylor,2-Abilene,CBCAP,110
2018,Taylor,2-Abilene,HIP,2
2018,Taylor,2-Abilene,HOPES,202
2018,Tom Green,9-Midland,CBCAP,44
2018,Travis,7-Austin,CBCAP,20
2018,Travis,7-Austin,HIP,18
2018,Travis,7-Austin,HOPES,572
2018,Trinity,5-Beaumont,HIP,2
2018,Upshur,4-Tyler,HOPES,15
2018,Walker,6-Houston,HOPES,1
2018,Waller,6-Houston,HOPES,2
2018,Webb,11-Edinburg,CBCAP,2
2018,Webb,11-Edinburg,HOPES,216
2018,Wichita,2-Abilene,CBCAP,1
2018,Wichita,2-Abilene,HIP,5
2018,Wichita,2-Abilene,HOPES,130
2018,Willacy,11-Edinburg,CBCAP,1
2018,Williamson,7-Austin,HOPES,39
2018,Williamson,7-Austin,SMVF,1
2018,Wilson,8-San Antonio,SMVF,2
2018,Wise,3-Arlington,CBCAP,1
2018,Wise,3-Arlington,HOPES,1
2018,Out of State,Out of State,CBCAP,2
2018,Out of State,Out of State,HOPES,1
2018,Out of State,Out of State,SMVF,2
2017,Atascosa,8-San Antonio,CBFS (2011-2018),2
2017,Atascosa,8-San Antonio,HIP,1
2017,Atascosa,8-San Antonio,TFTS (2011-2018),1
2017,Bastrop,7-Austin,HOPES,5
2017,Bell,7-Austin,CBCAP,1
2017,Bell,7-Austin,HOPES,14
2017,Bell,7-Austin,SMVF,256
2017,Bexar,8-San Antonio,CBFS (2011-2018),343
2017,Bexar,8-San Antonio,HIP,64
2017,Bexar,8-San Antonio,HOPES,95
2017,Bexar,8-San Antonio,SMVF,323
2017,Bexar,8-San Antonio,TFTS (2011-2018),797
2017,Bowie,4-Tyler,CBCAP,1
2017,Brazoria,6-Houston,CBCAP,1
2017,Brazoria,6-Houston,HIP,2
2017,Brazoria,6-Houston,HOPES,4
2017,Brazos,7-Austin,HOPES,36
2017,Brazos,7-Austin,TFTS (2011-2018),277
2017,Brown,2-Abilene,CBCAP,4
2017,Brown,2-Abilene,CBFS (2011-2018),17
2017,Brown,2-Abilene,TFTS (2011-2018),144
2017,Burleson,7-Austin,TFTS (2011-2018),36
2017,Caldwell,7-Austin,HOPES,1
2017,Callahan,2-Abilene,CBCAP,5
2017,Callahan,2-Abilene,HOPES,4
2017,Callahan,2-Abilene,TFTS (2011-2018),6
2017,Cameron,11-Edinburg,CBCAP,165
2017,Cameron,11-Edinburg,HOPES,224
2017,Cameron,11-Edinburg,TFTS (2011-2018),248
2017,Cass,4-Tyler,CBCAP,1
2017,Chambers,6-Houston,HOPES,2
2017,Clay,2-Abilene,HOPES,2
2017,Coleman,2-Abilene,CBCAP,2
2017,Coleman,2-Abilene,CBFS (2011-2018),4
2017,Coleman,2-Abilene,TFTS (2011-2018),9
2017,Collin,3-Arlington,CBCAP,1
2017,Collin,3-Arlington,HIP,3
2017,Colorado,6-Houston,HIP,1
2017,Comal,8-San Antonio,CBFS (2011-2018),4
2017,Comal,8-San Antonio,HIP,2
2017,Comal,8-San Antonio,SMVF,6
2017,Comanche,2-Abilene,CBFS (2011-2018),1
2017,Comanche,2-Abilene,TFTS (2011-2018),8
2017,Coryell,7-Austin,HOPES,2
2017,Coryell,7-Austin,SMVF,45
2017,Crane,9-Midland,CBCAP,1
2017,Dallam,1-Lubbock,HOPES,1
2017,Dallas,3-Arlington,CBCAP,8
2017,Dallas,3-Arlington,HIP,33
2017,Dallas,3-Arlington,HOPES,549
2017,Dawson,9-Midland,HIP,1
2017,Deaf Smith,1-Lubbock,CBCAP,1
2017,Denton,3-Arlington,CBCAP,28
2017,Denton,3-Arlington,HOPES,25
2017,Eastland,2-Abilene,TFTS (2011-2018),1
2017,Ector,9-Midland,CBCAP,8
2017,Ector,9-Midland,HIP,4
2017,Ector,9-Midland,HOPES,55
2017,Ellis,3-Arlington,HIP,1
2017,Ellis,3-Arlington,HOPES,6
2017,El Paso,10-El Paso,CBCAP,151
2017,El Paso,10-El Paso,HOPES,539
2017,El Paso,10-El Paso,SMVF,138
2017,Erath,3-Arlington,CBCAP,2
2017,Fannin,3-Arlington,HIP,1
2017,Fisher,2-Abilene,CBCAP,1
2017,Fort Bend,6-Houston,CBCAP,84
2017,Fort Bend,6-Houston,HIP,2
2017,Fort Bend,6-Houston,HOPES,20
2017,Frio,8-San Antonio,SMVF,1
2017,Gaines,9-Midland,CBCAP,1
2017,Galveston,6-Houston,HIP,1
2017,Galveston,6-Houston,HOPES,12
2017,Gonzales,8-San Antonio,SMVF,1
2017,Grayson,3-Arlington,CBCAP,4
2017,Grayson,3-Arlington,HIP,2
2017,Gregg,4-Tyler,HIP,5
2017,Gregg,4-Tyler,HOPES,186
2017,Grimes,7-Austin,TFTS (2011-2018),48
2017,Guadalupe,8-San Antonio,CBFS (2011-2018),21
2017,Guadalupe,8-San Antonio,HIP,4
2017,Guadalupe,8-San Antonio,SMVF,7
2017,Guadalupe,8-San Antonio,TFTS (2011-2018),1
2017,Hardin,5-Beaumont,HOPES,10
2017,Harris,6-Houston,CBCAP,77
2017,Harris,6-Houston,HIP,33
2017,Harris,6-Houston,HOPES,498
2017,Harrison,4-Tyler,HIP,1
2017,Haskell,2-Abilene,CBCAP,1
2017,Hays,7-Austin,HIP,2
2017,Hays,7-Austin,HOPES,3
2017,Henderson,4-Tyler,HIP,2
2017,Hidalgo,11-Edinburg,CBCAP,3
2017,Hidalgo,11-Edinburg,HOPES,528
2017,Hidalgo,11-Edinburg,TFTS (2011-2018),641
2017,Hood,3-Arlington,HIP,1
2017,Howard,9-Midland,CBCAP,2
2017,Howard,9-Midland,HIP,5
2017,Hudspeth,10-El Paso,CBCAP,1
2017,Hunt,3-Arlington,HIP,1
2017,Hunt,3-Arlington,HOPES,2
2017,Hutchinson,1-Lubbock,TFTS (2011-2018),1
2017,Jack,2-Abilene,TFTS (2011-2018),1
2017,Jasper,5-Beaumont,HOPES,1
2017,Jefferson,5-Beaumont,CBCAP,2
2017,Jefferson,5-Beaumont,HOPES,127
2017,Jim Hogg,11-Edinburg,TFTS (2011-2018),1
2017,Johnson,3-Arlington,CBCAP,1
2017,Johnson,3-Arlington,HOPES,11
2017,Jones,2-Abilene,CBCAP,1
2017,Jones,2-Abilene,HOPES,17
2017,Karnes,8-San Antonio,TFTS (2011-2018),1
2017,Kaufman,3-Arlington,HIP,3
2017,Kendall,8-San Antonio,CBFS (2011-2018),1
2017,Kendall,8-San Antonio,SMVF,1
2017,Kerr,8-San Antonio,TFTS (2011-2018),70
2017,Kleberg,11-Edinburg,HOPES,7
2017,Lamb,1-Lubbock,CBCAP,1
2017,Lampasas,7-Austin,SMVF,6
2017,Lavaca,8-San Antonio,HIP,1
2017,Liberty,6-Houston,HOPES,2
2017,Lubbock,1-Lubbock,CBCAP,4
2017,Lubbock,1-Lubbock,HIP,3
2017,Lubbock,1-Lubbock,HOPES,208
2017,Lubbock,1-Lubbock,SMVF,1
2017,Madison,7-Austin,TFTS (2011-2018),11
2017,Martin,9-Midland,CBCAP,1
2017,McCulloch,9-Midland,CBFS (2011-2018),2
2017,McCulloch,9-Midland,TFTS (2011-2018),5
2017,McLennan,7-Austin,HOPES,109
2017,Medina,8-San Antonio,SMVF,1
2017,Midland,9-Midland,CBCAP,5
2017,Midland,9-Midland,HIP,3
2017,Midland,9-Midland,HOPES,11
2017,Mills,7-Austin,CBFS (2011-2018),4
2017,Mills,7-Austin,TFTS (2011-2018),6
2017,Montgomery,6-Houston,HIP,7
2017,Montgomery,6-Houston,HOPES,30
2017,Navarro,3-Arlington,HIP,2
2017,Nolan,2-Abilene,CBCAP,1
2017,Nolan,2-Abilene,HOPES,10
2017,Nueces,11-Edinburg,CBCAP,2
2017,Nueces,11-Edinburg,HOPES,88
2017,Nueces,11-Edinburg,TFTS (2011-2018),138
2017,Orange,5-Beaumont,HOPES,3
2017,Palo Pinto,3-Arlington,HIP,2
2017,Palo Pinto,3-Arlington,TFTS (2011-2018),1
2017,Parker,3-Arlington,CBCAP,1
2017,Parker,3-Arlington,HIP,1
2017,Pecos,9-Midland,HIP,1
2017,Potter,1-Lubbock,HOPES,73
2017,Randall,1-Lubbock,HOPES,30
2017,Robertson,7-Austin,TFTS (2011-2018),31
2017,Rockwall,3-Arlington,HOPES,1
2017,Runnels,2-Abilene,CBCAP,2
2017,Runnels,2-Abilene,CBFS (2011-2018),1
2017,Runnels,2-Abilene,TFTS (2011-2018),1
2017,Rusk,4-Tyler,HIP,1
2017,San Patricio,11-Edinburg,HOPES,4
2017,San Saba,7-Austin,CBFS (2011-2018),3
2017,San Saba,7-Austin,TFTS (2011-2018),22
2017,Shackelford,2-Abilene,HOPES,4
2017,Smith,4-Tyler,HIP,2
2017,Starr,11-Edinburg,CBCAP,2
2017,Starr,11-Edinburg,HOPES,1
2017,Stephens,2-Abilene,CBCAP,2
2017,Tarrant,3-Arlington,CBCAP,195
2017,Tarrant,3-Arlington,HIP,7
2017,Tarrant,3-Arlington,HOPES,83
2017,Tarrant,3-Arlington,TFTS (2011-2018),380
2017,Taylor,2-Abilene,CBCAP,129
2017,Taylor,2-Abilene,HIP,7
2017,Taylor,2-Abilene,HOPES,126
2017,Taylor,2-Abilene,TFTS (2011-2018),1
2017,Tom Green,9-Midland,CBCAP,51
2017,Tom Green,9-Midland,HIP,3
2017,Travis,7-Austin,HIP,27
2017,Travis,7-Austin,HOPES,628
2017,Upshur,4-Tyler,CBCAP,1
2017,Val Verde,8-San Antonio,HOPES,1
2017,Val Verde,8-San Antonio,TFTS (2011-2018),1
2017,Van Zandt,4-Tyler,CBCAP,1
2017,Van Zandt,4-Tyler,HIP,2
2017,Van Zandt,4-Tyler,HOPES,1
2017,Walker,6-Houston,HOPES,1
2017,Webb,11-Edinburg,CBCAP,3
2017,Webb,11-Edinburg,HOPES,186
2017,Wichita,2-Abilene,CBCAP,3
2017,Wichita,2-Abilene,HOPES,73
2017,Willacy,11-Edinburg,CBCAP,1
2017,Williamson,7-Austin,HIP,5
2017,Williamson,7-Austin,HOPES,42
2017,Wilson,8-San Antonio,CBFS (2011-2018),1
2017,Wilson,8-San Antonio,SMVF,4
2017,Wilson,8-San Antonio,TFTS (2011-2018),1
2017,Wise,3-Arlington,CBCAP,1
2017,Wise,3-Arlington,HIP,1
2017,Wood,4-Tyler,CBCAP,2
2017,Wood,4-Tyler,HOPES,1
2017,Out of State,Out of State,CBCAP,11
2017,Out of State,Out of State,SMVF,3
2016,Archer,2-Abilene,HOPES,1
2016,Bell,7-Austin,CBCAP,1
2016,Bexar,8-San Antonio,CBCAP,307
2016,Bexar,8-San Antonio,CBFS (2011-2018),343
2016,Bexar,8-San Antonio,HIP,9
2016,Bexar,8-San Antonio,SMVF,74
2016,Bexar,8-San Antonio,TFTS (2011-2018),570
2016,Brazoria,6-Houston,HOPES,2
2016,Brazos,7-Austin,TFTS (2011-2018),243
2016,Brown,2-Abilene,CBFS (2011-2018),29
2016,Brown,2-Abilene,TFTS (2011-2018),129
2016,Burleson,7-Austin,TFTS (2011-2018),32
2016,Callahan,2-Abilene,CBFS (2011-2018),1
2016,Callahan,2-Abilene,TFTS (2011-2018),3
2016,Cameron,11-Edinburg,CBCAP,148
2016,Cameron,11-Edinburg,HOPES,258
2016,Cameron,11-Edinburg,TFTS (2011-2018),211
2016,Coleman,2-Abilene,CBFS (2011-2018),3
2016,Coleman,2-Abilene,TFTS (2011-2018),8
2016,Collin,3-Arlington,HIP,1
2016,Comal,8-San Antonio,SMVF,3
2016,Comanche,2-Abilene,CBFS (2011-2018),2
2016,Comanche,2-Abilene,TFTS (2011-2018),12
2016,Dallas,3-Arlington,HIP,10
2016,Dallas,3-Arlington,HOPES,53
2016,Denton,3-Arlington,CBCAP,12
2016,Denton,3-Arlington,HIP,1
2016,Eastland,2-Abilene,CBFS (2011-2018),1
2016,Eastland,2-Abilene,TFTS (2011-2018),26
2016,Ector,9-Midland,CBCAP,1
2016,Ector,9-Midland,HOPES,123
2016,El Paso,10-El Paso,CBCAP,219
2016,El Paso,10-El Paso,HOPES,517
2016,El Paso,10-El Paso,SMVF,40
2016,Fort Bend,6-Houston,CBCAP,7
2016,Fort Bend,6-Houston,HOPES,3
2016,Gregg,4-Tyler,HOPES,142
2016,Grimes,7-Austin,TFTS (2011-2018),33
2016,Guadalupe,8-San Antonio,CBFS (2011-2018),31
2016,Guadalupe,8-San Antonio,HIP,2
2016,Hardin,5-Beaumont,CBCAP,1
2016,Hardin,5-Beaumont,HOPES,3
2016,Harris,6-Houston,CBCAP,68
2016,Harris,6-Houston,HOPES,157
2016,Hidalgo,11-Edinburg,HOPES,336
2016,Hidalgo,11-Edinburg,TFTS (2011-2018),649
2016,Houston,5-Beaumont,HOPES,1
2016,Jefferson,5-Beaumont,HOPES,78
2016,Jones,2-Abilene,HOPES,5
2016,Kerr,8-San Antonio,TFTS (2011-2018),16
2016,Kleberg,11-Edinburg,HOPES,1
2016,Leon,7-Austin,TFTS (2011-2018),3
2016,Lubbock,1-Lubbock,HOPES,104
2016,Madison,7-Austin,TFTS (2011-2018),56
2016,McCulloch,9-Midland,CBFS (2011-2018),4
2016,McCulloch,9-Midland,TFTS (2011-2018),5
2016,McLennan,7-Austin,HOPES,27
2016,Medina,8-San Antonio,SMVF,1
2016,Midland,9-Midland,HOPES,6
2016,Mills,7-Austin,CBFS (2011-2018),1
2016,Mills,7-Austin,TFTS (2011-2018),8
2016,Nolan,2-Abilene,HOPES,1
2016,Nueces,11-Edinburg,HOPES,21
2016,Nueces,11-Edinburg,TFTS (2011-2018),144
2016,Orange,5-Beaumont,HOPES,3
2016,Potter,1-Lubbock,HOPES,68
2016,Randall,1-Lubbock,HOPES,18
2016,Robertson,7-Austin,TFTS (2011-2018),13
2016,Runnels,2-Abilene,CBCAP,2
2016,Runnels,2-Abilene,CBFS (2011-2018),1
2016,Runnels,2-Abilene,TFTS (2011-2018),5
2016,San Saba,7-Austin,CBFS (2011-2018),4
2016,San Saba,7-Austin,TFTS (2011-2018),15
2016,Shackelford,2-Abilene,HOPES,4
2016,Tarrant,3-Arlington,CBCAP,126
2016,Tarrant,3-Arlington,HOPES,1
2016,Tarrant,3-Arlington,TFTS (2011-2018),411
2016,Taylor,2-Abilene,CBCAP,144
2016,Taylor,2-Abilene,HOPES,30
2016,Tom Green,9-Midland,CBCAP,69
2016,Travis,7-Austin,HIP,3
2016,Travis,7-Austin,HOPES,426
2016,Webb,11-Edinburg,HOPES,188
2016,Wichita,2-Abilene,HOPES,37
2016,Williamson,7-Austin,HIP,3
2016,Williamson,7-Austin,HOPES,20
2016,Wilson,8-San Antonio,SMVF,1
2015,Austin,6-Houston,HIP,1
2015,Bell,7-Austin,TFTS (2011-2018),1
2015,Bexar,8-San Antonio,CBCAP,499
2015,Bexar,8-San Antonio,CBFS (2011-2018),324
2015,Bexar,8-San Antonio,HIP,14
2015,Bexar,8-San Antonio,TFTS (2011-2018),365
2015,Brazos,7-Austin,TFTS (2011-2018),291
2015,Brown,2-Abilene,CBFS (2011-2018),27
2015,Brown,2-Abilene,TFTS (2011-2018),139
2015,Burleson,7-Austin,TFTS (2011-2018),5
2015,Callahan,2-Abilene,CBFS (2011-2018),1
2015,Callahan,2-Abilene,TFTS (2011-2018),2
2015,Cameron,11-Edinburg,CBCAP,119
2015,Cameron,11-Edinburg,HOPES,175
2015,Cameron,11-Edinburg,TFTS (2011-2018),250
2015,Coleman,2-Abilene,CBFS (2011-2018),3
2015,Coleman,2-Abilene,TFTS (2011-2018),19
2015,Comanche,2-Abilene,CBFS (2011-2018),2
2015,Comanche,2-Abilene,TFTS (2011-2018),8
2015,Dallas,3-Arlington,CBCAP,4
2015,Dallas,3-Arlington,HIP,10
2015,Eastland,2-Abilene,CBFS (2011-2018),3
2015,Eastland,2-Abilene,TFTS (2011-2018),20
2015,Ector,9-Midland,CBCAP,4
2015,Ector,9-Midland,HOPES,79
2015,Ellis,3-Arlington,CBCAP,1
2015,El Paso,10-El Paso,CBCAP,438
2015,El Paso,10-El Paso,HOPES,405
2015,Galveston,6-Houston,HIP,2
2015,Gray,1-Lubbock,CBCAP,1
2015,Gregg,4-Tyler,HOPES,143
2015,Guadalupe,8-San Antonio,CBFS (2011-2018),49
2015,Hardin,5-Beaumont,HIP,2
2015,Harris,6-Houston,CBCAP,60
2015,Harris,6-Houston,HIP,21
2015,Hidalgo,11-Edinburg,HOPES,168
2015,Hidalgo,11-Edinburg,TFTS (2011-2018),651
2015,Johnson,3-Arlington,CBCAP,1
2015,Kaufman,3-Arlington,HIP,2
2015,Kerr,8-San Antonio,TFTS (2011-2018),4
2015,Leon,7-Austin,TFTS (2011-2018),5
2015,Lubbock,1-Lubbock,HIP,1
2015,Madison,7-Austin,TFTS (2011-2018),33
2015,McCulloch,9-Midland,CBFS (2011-2018),6
2015,McCulloch,9-Midland,TFTS (2011-2018),10
2015,Midland,9-Midland,CBCAP,1
2015,Mills,7-Austin,CBFS (2011-2018),4
2015,Mills,7-Austin,TFTS (2011-2018),8
2015,Montgomery,6-Houston,HIP,1
2015,Nueces,11-Edinburg,TFTS (2011-2018),17
2015,Potter,1-Lubbock,HOPES,42
2015,Randall,1-Lubbock,HOPES,4
2015,Robertson,7-Austin,TFTS (2011-2018),33
2015,Runnels,2-Abilene,CBCAP,7
2015,Runnels,2-Abilene,CBFS (2011-2018),1
2015,Runnels,2-Abilene,TFTS (2011-2018),3
2015,San Saba,7-Austin,CBFS (2011-2018),4
2015,San Saba,7-Austin,TFTS (2011-2018),5
2015,Tarrant,3-Arlington,CBCAP,109
2015,Tarrant,3-Arlington,HIP,2
2015,Tarrant,3-Arlington,TFTS (2011-2018),339
2015,Taylor,2-Abilene,CBCAP,118
2015,Tom Green,9-Midland,CBCAP,106
2015,Tom Green,9-Midland,HOPES,1
2015,Travis,7-Austin,HOPES,219
2015,Waller,6-Houston,HIP,2
2015,Webb,11-Edinburg,HOPES,135
2014,Bell,7-Austin,TFTS (2011-2018),3
2014,Bexar,8-San Antonio,CBCAP,469
2014,Bexar,8-San Antonio,CBFS (2011-2018),257
2014,Bexar,8-San Antonio,TFTS (2011-2018),558
2014,Blanco,7-Austin,CBCAP,1
2014,Brazos,7-Austin,TFTS (2011-2018),257
2014,Brown,2-Abilene,CBFS (2011-2018),15
2014,Brown,2-Abilene,TFTS (2011-2018),111
2014,Burleson,7-Austin,TFTS (2011-2018),8
2014,Callahan,2-Abilene,TFTS (2011-2018),9
2014,Cameron,11-Edinburg,CBCAP,25
2014,Cameron,11-Edinburg,TFTS (2011-2018),112
2014,Coleman,2-Abilene,CBFS (2011-2018),4
2014,Coleman,2-Abilene,TFTS (2011-2018),9
2014,Comanche,2-Abilene,CBFS (2011-2018),6
2014,Comanche,2-Abilene,TFTS (2011-2018),12
2014,Dallas,3-Arlington,CBCAP,1
2014,Eastland,2-Abilene,CBFS (2011-2018),2
2014,Eastland,2-Abilene,TFTS (2011-2018),15
2014,Ellis,3-Arlington,CBCAP,1
2014,El Paso,10-El Paso,CBCAP,322
2014,Guadalupe,8-San Antonio,CBFS (2011-2018),44
2014,Hidalgo,11-Edinburg,TFTS (2011-2018),351
2014,Kerr,8-San Antonio,TFTS (2011-2018),18
2014,Leon,7-Austin,TFTS (2011-2018),17
2014,Madison,7-Austin,TFTS (2011-2018),48
2014,McCulloch,9-Midland,TFTS (2011-2018),13
2014,Navarro,3-Arlington,TFTS (2011-2018),1
2014,Nolan,2-Abilene,TFTS (2011-2018),5
2014,Nueces,11-Edinburg,TFTS (2011-2018),228
2014,Robertson,7-Austin,TFTS (2011-2018),7
2014,Runnels,2-Abilene,CBFS (2011-2018),1
2014,Runnels,2-Abilene,TFTS (2011-2018),5
2014,San Saba,7-Austin,TFTS (2011-2018),8
2014,Tarrant,3-Arlington,CBCAP,12
2014,Tarrant,3-Arlington,TFTS (2011-2018),301
2014,Taylor,2-Abilene,CBCAP,6
2013,Atascosa,8-San Antonio,CBCAP,9
2013,Bandera,8-San Antonio,CBCAP,12
2013,Bexar,8-San Antonio,CBCAP,516
2013,Bexar,8-San Antonio,CBFS (2011-2018),254
2013,Bexar,8-San Antonio,TFTS (2011-2018),471
2013,Blanco,7-Austin,TFTS (2011-2018),5
2013,Brazos,7-Austin,TFTS (2011-2018),289
2013,Brown,2-Abilene,TFTS (2011-2018),160
2013,Burleson,7-Austin,TFTS (2011-2018),5
2013,Callahan,2-Abilene,TFTS (2011-2018),4
2013,Coleman,2-Abilene,TFTS (2011-2018),18
2013,Comanche,2-Abilene,TFTS (2011-2018),8
2013,Concho,9-Midland,CBCAP,2
2013,Concho,9-Midland,TFTS (2011-2018),1
2013,Crockett,9-Midland,CBCAP,3
2013,Crosby,1-Lubbock,TFTS (2011-2018),3
2013,Eastland,2-Abilene,TFTS (2011-2018),10
2013,El Paso,10-El Paso,CBCAP,204
2013,Frio,8-San Antonio,CBCAP,34
2013,Grimes,7-Austin,TFTS (2011-2018),7
2013,Guadalupe,8-San Antonio,CBFS (2011-2018),33
2013,Hale,1-Lubbock,TFTS (2011-2018),11
2013,Hockley,1-Lubbock,TFTS (2011-2018),11
2013,Hudspeth,10-El Paso,CBCAP,16
2013,Irion,9-Midland,TFTS (2011-2018),1
2013,Karnes,8-San Antonio,CBCAP,41
2013,Leon,7-Austin,TFTS (2011-2018),1
2013,Lubbock,1-Lubbock,TFTS (2011-2018),221
2013,Lynn,1-Lubbock,TFTS (2011-2018),5
2013,Madison,7-Austin,TFTS (2011-2018),35
2013,McCulloch,9-Midland,TFTS (2011-2018),12
2013,Mills,7-Austin,TFTS (2011-2018),10
2013,Real,8-San Antonio,CBCAP,13
2013,Robertson,7-Austin,TFTS (2011-2018),18
2013,Runnels,2-Abilene,CBCAP,14
2013,Runnels,2-Abilene,TFTS (2011-2018),3
2013,San Saba,7-Austin,TFTS (2011-2018),7
2013,Tarrant,3-Arlington,TFTS (2011-2018),199
